Company,Cluster,Valuation ($B),Year Joined,Country,City,Industry,Select Inverstors,Founded Year,Investors Count,Total Raised($),Transition Time(Years),xcoord,ycoord
Augury,2,1.0,2021,United States,New York,Artificial intelligence,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures",2011,13,2940000000.0,10,39.7837304,-100.445882
OpenWeb,2,1.0,2021,United States,New York,Internet software & services,"Insight Partners, AltaIR Capital, Norma Investments",2012,23,2130000000.0,9,39.7837304,-100.445882
Contrast Security,2,1.0,2021,United States,Los Altos,Cybersecurity,"Acero Capital, General Catalyst, M12",2014,11,2690000000.0,7,39.7837304,-100.445882
Lessen,2,1.0,2021,United States,Scottsdale,Internet software & services,"Khosla Ventures, General Catalyst, Navitas Capital",2019,4,2050000000.0,2,39.7837304,-100.445882
ReliaQuest,2,1.0,2021,United States,Tampa,Cybersecurity,"KKR, FTV Capital, Ten Eleven Ventures",2007,4,3300000000.0,14,39.7837304,-100.445882
Noname Security,2,1.0,2021,United States,Palo Alto,Cybersecurity,"Insight Partners, Lightspeed Venture Partners, CyberStarts",2020,7,2200000000.0,1,39.7837304,-100.445882
Kopi Kenangan,2,1.0,2021,Indonesia,Jakarta,Consumer & retail,"Horizons Ventures, Sequoia Capital India, Alpha JWC Ventures",2017,13,2330000000.0,4,-2.4833826,117.8902853
CAIS,2,1.0,2022,United States,New York,Fintech,"Franklin Templeton, Motive Partners. Apollo Global Management",2009,7,2830000000.0,13,39.7837304,-100.445882
Pentera,2,1.0,2022,Israel,Petah Tikva,Cybersecurity,"AWZ Ventures, Blackstone, Insight Partners",2015,6,1850000000.0,7,31.5313113,34.8667654
Scandit,2,1.0,2022,Switzerland,Zurich,"Supply chain, logistics, & delivery","Atomico, NGP Capital, Google Ventures",2009,12,2730000000.0,13,46.7985624,8.2319736
