Company,Valuation ($B),Year Joined,Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Total Raised($),Total Raised Ranges($),Transition Time
Meesho,4.9,2021,India,Bengaluru,Internet software & services,"Venture Highway, Sequoia Capital India, Prosus Ventures",2015,None,26,5,1061000000.0,1000000001-1000000000000,6
Creditas,4.8,2020,Brazil,Sao Paulo,Fintech,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",2012,Acquired,25,5,867440000.0,1000001-1000000000,8
Pleo,4.7,2021,Denmark,Copenhagen,Fintech,"Creandum, Founders, Kinnevik",2015,None,16,4,428800000.0,1000001-1000000000,6
Vinted,4.53,2019,Lithuania,Vilnius,E-commerce & direct-to-consumer,"Accel, Insight Partners, Burda Principal Investments",2008,None,9,5,562230000.0,1000001-1000000000,11
Monzo,4.5,2018,United Kingdom,London,Fintech,"Passion Capital, Thrive Capital, Orange Digital Ventures",2000,None,2,None,0.0,,18
Sorare,4.3,2021,France,Paris,E-commerce & direct-to-consumer,"Benchmark, Accel, SoftBank Group",2019,None,24,1,737080000.0,1000001-1000000000,2
BitPanda,4.11,2021,Austria,Vienna,Fintech,"Speedinvest, Valar Ventures, Uniqa Ventures",2014,None,12,2,497430000.0,1000001-1000000000,7
Yello Mobile,4.0,2014,South Korea,Seoul,Mobile & telecommunications,Formation 8,2012,Divestiture,8,6,216070000.0,1000001-1000000000,2
Greensill,4.0,2018,United Kingdom,London,Fintech,"SoftBank Group, General Atlantic",2011,Management,2,2,1705000000.0,1000000001-1000000000000,7
PointClickCare,4.0,2021,Canada,Mississauga,Internet software & services,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",2000,None,3,1,86880000.0,1000001-1000000000,21
BrowserStack,4.0,2021,Ireland,Dublin,Internet software & services,"Accel, Insight Partners, Bond Capital",2011,None,3,2,2500000000.0,1000000001-1000000000000,10
MessageBird,3.8,2020,Netherlands,Amsterdam,Mobile & telecommunications,"Y Combinator, Atomico, Accel",2011,None,15,3,1100000000.0,1000000001-1000000000000,9
ShareChat,3.7,2021,India,Bengaluru,Internet software & services,"India Quotient, Elevation Capital, Lightspeed Venture Partners",2015,None,22,7,1277000000.0,1000000001-1000000000000,6
Otto Bock HealthCare,3.52,2017,Germany,Duderstadt,Health,EQT Partners,1919,None,2,1,815490000.0,1000001-1000000000,98
HyalRoute,3.5,2020,Singapore,Mobile & telecommunications,Kuang-Chi,None,2015,None,1,1,263120000.0,1000001-1000000000,5
Digit Insurance,3.5,2021,India,Bengaluru,Fintech,"Fairfax Financial Holdings, A91 Partners, TVS Capital",2016,None,15,5,424160000.0,1000001-1000000000,5
Mirakl,3.5,2020,France,Paris,E-commerce & direct-to-consumer,"Elaia Partners, 83North, Felix Capital",2011,None,6,4,9480000000.0,1000000001-1000000000000,9
GoStudent,3.5,2021,Austria,Vienna,Edtech,"DN Capital, Left Lane Capital, Coatue Management",2017,None,13,3,684790000.0,1000001-1000000000,4
Unacademy,3.44,2020,India,Bengaluru,Edtech,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",2015,None,34,9,875730000.0,1000001-1000000000,5
Upstox,3.4,2021,India,Mumbai,Fintech,"Tiger Global Management, Kalaari Capital",2010,None,4,2,540000000.0,1000001-1000000000,11
Kurly,3.3,2021,South Korea,Seoul,"Supply chain, logistics, & delivery","Sequoia Capital China, DST Global, DST Global",2014,None,20,6,769860000.0,1000001-1000000000,7
Cars24,3.3,2020,India,Gurgaon,E-commerce & direct-to-consumer,"Moore Strategic Ventures, DST Global, Sequoia Capital India",2015,None,30,5,1296000000.0,1000000001-1000000000000,5
Eruditus Executive Education,3.2,2021,India,Mumbai,Edtech,"Sequoia Capital India, Softbank, Bertelsmann India Investments",2010,None,13,5,593460000.0,1000001-1000000000,11
Blockstream,3.2,2021,Canada,Vancouver,Fintech,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",2014,None,23,4,3110000000.0,1000000001-1000000000000,7
Udaan,3.1,2018,India,Bengaluru,"Supply chain, logistics, & delivery","DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",2016,None,21,5,1447000000.0,1000000001-1000000000000,2
Nuvemshop,3.1,2021,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Kaszek Ventures, Qualcomm Ventures, Accel",2011,None,24,2,628300000.0,1000001-1000000000,10
DailyHunt,3.1,2020,India,Bengaluru,Internet software & services,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",2007,None,24,7,868670000.0,1000001-1000000000,13
Traveloka,3.0,2017,Indonesia,Jakarta,Travel,"Global Founders Capital, East Ventures, Expedia Inc.",2012,None,8,3,1170000000.0,1000000001-1000000000000,5
BGL Group,3.0,2017,United Kingdom,Peterborough,Fintech,CPP Investment Board,1992,Divestiture,1,1,9000000000.0,1000000001-1000000000000,25
Delhivery,3.0,2019,India,Gurgaon,"Supply chain, logistics, & delivery","Times Internet, Nexus Venture Partners, SoftBank Group",2011,None,16,5,1361000000.0,1000000001-1000000000000,8
FlixMobility,3.0,2019,Germany,Munich,Auto & transportation,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",2013,None,16,3,1211000000.0,1000000001-1000000000000,6
Wildlife Studios,3.0,2019,Brazil,Sao Paulo,Other,"Benchmark, Bessemer Venture Partners",2011,None,9,2,1800000000.0,1000000001-1000000000000,8
ApplyBoard,3.0,2020,Canada,Kitchener,Edtech,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",2015,None,19,3,479910000.0,1000001-1000000000,5
CMR Surgical,3.0,2019,United Kingdom,Cambridge,Health,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",2014,None,14,4,986300000.0,1000001-1000000000,5
Contentful,3.0,2021,Germany,Berlin,Internet software & services,"Balderton Capital, General Catalyst, Tiger Global Management",2013,None,13,3,3310000000.0,1000000001-1000000000000,8
Gorillas,3.1,2021,Germany,Berlin,E-commerce & direct-to-consumer,"Coatue Management, Atlantic Food Labs, DST Global",2020,None,14,2,1335000000.0,1000000001-1000000000000,1
Sky Mavis,3.0,2021,Vietnam,Ho Chi Minh City,Internet software & services,"Fabric Ventures, 500 Global, Standard Crypto",2019,None,18,1,1610000000.0,1000000001-1000000000000,2
Groww,3.0,2021,India,Bengaluru,Fintech,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2017,None,17,3,399890000.0,1000001-1000000000,4
Amber Group,3.0,2021,Hong Kong,Fintech,"Tiger Global Management, Tiger Brokers, DCM Ventures",None,2015,None,18,3,3280000000.0,1000000001-1000000000000,6
Ovo,2.9,2019,Indonesia,Jakarta,Fintech,"Grab, Tokopedia, Tokyo Century Corporation",2017,Acquired,3,1,1160000000.0,1000000001-1000000000000,2
Loft,2.9,2020,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Monashees+, Andreessen Horowitz, QED Investors",2018,None,34,4,7880000000.0,1000000001-1000000000000,2
BharatPe,2.85,2021,India,New Delhi,Fintech,"Insight Partners, Sequoia Capital India, BEENEXT",2018,None,22,4,702250000.0,1000001-1000000000,3
Flink,2.85,2021,Germany,Berlin,E-commerce & direct-to-consumer,"Mubadala Capital, Bond, Prosus Ventures",2021,None,10,1,1042000000.0,1000000001-1000000000000,0
ContentSquare,2.8,2021,France,Paris,Internet software & services,"Highland Europe, Eurazeo, Canaan Partners",2012,None,11,3,8120000000.0,1000000001-1000000000000,9
Graphcore,2.77,2018,United Kingdom,Bristol,Artificial intelligence,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2016,None,29,5,6820000000.0,1000000001-1000000000000,2
Dream Games,2.75,2021,Turkey,Istanbul,Mobile & telecommunications,"Makers Fund, Index Ventures, Inova Ventures Participacees",2019,None,6,3,467200000.0,1000001-1000000000,2
Transmit Security,2.74,2021,Israel,Tel Aviv,Cybersecurity,"General Atlantic, Insight Partners, Vintage Investment Partners",2014,None,11,1,5830000000.0,1000000001-1000000000000,7
ManoMano,2.6,2021,France,Paris,E-commerce & direct-to-consumer,"General Atlantic, Piton Capital, Partech Partners",2013,None,12,3,708730000.0,1000001-1000000000,8
Moglix,2.6,2021,Singapore,E-commerce & direct-to-consumer,"Jungle Ventures, Accel, Venture Highway",None,2015,None,16,6,470710000.0,1000001-1000000000,6
Vista Global,2.5,2017,United Arab Emirates,Dubai,Other,Rhone Capital,2004,None,20,4,418450000.0,1000001-1000000000,13
Acronis,2.5,2019,Switzerland,Schaffhausen,Cybersecurity,"Goldman Sachs, VebVentures, Insight Partners",2003,None,8,2,427510000.0,1000001-1000000000,16
Lenskart,2.5,2019,India,Faridabad,E-commerce & direct-to-consumer,"Chiratae Ventures, PremjiInvest, Softbank",2008,Acquired,18,9,675900000.0,1000001-1000000000,11
Infra.Market,2.5,2021,India,Thane,E-commerce & direct-to-consumer,"Accel, Tiger Global Management, Nexus Venture Partners",2016,None,26,2,381400000.0,1000001-1000000000,5
Cato Networks,2.5,2020,Israel,Tel Aviv,Cybersecurity,"Aspect Ventures, SingTel Innov8, Greylock Partners",2015,None,10,4,5120000000.0,1000000001-1000000000000,5
Zetwerk,2.5,2021,India,Bengaluru,Internet software & services,"Sequoia Capital India, Kae Capital, Accel",2018,None,24,3,656670000.0,1000001-1000000000,3
Uala,2.45,2021,Argentina,Buenos Aires,Fintech,"Soros Fund Management, Ribbit Capital, Monashees+",2017,None,21,4,6080000000.0,1000000001-1000000000000,4
Mobile Premier League,2.45,2021,India,Bengaluru,Internet software & services,"Sequoia Capital India, RTP Global, Go-Ventures",2018,None,30,3,377700000.0,1000001-1000000000,3
PolicyBazaar,2.4,2019,India,Gurgaon,Fintech,"Info Edge, Softbank Capital",2008,None,22,7,633780000.0,1000001-1000000000,11
Bought By Many,2.35,2021,United Kingdom,London,Fintech,"Octopus Ventures, Munich Re Ventures, CommerzVentures",2012,None,8,3,477270000.0,1000001-1000000000,9
Jobandtalent,2.35,2021,Spain,Madrid,Internet software & services,"Kibo Ventures, SoftBank Group, Atomico",2009,None,20,3,1072000000.0000001,1000000001-1000000000000,12
WEMAKEPRICE,2.34,2015,South Korea,Seoul,E-commerce & direct-to-consumer,"IMM Investment, NXC",2009,None,3,4,486650000.0,1000001-1000000000,6
Voodoo,2.31,2020,France,Paris,Other,"Tencent Holdings, Goldman Sachs",2013,None,3,2,569950000.0,1000001-1000000000,7
Odoo,2.3,2021,Belgium,Louvain-la-Neuve,Internet software & services,"Summit Partners, Noshaq, Sofinnova Partners",2005,None,6,1,3190000000.0,1000000001-1000000000000,16
MoMo,2.27,2021,Vietnam,Ho Chi Minh City,Fintech,"Goodwater Capital, Warburg Pincus, GS Growth",2013,None,10,3,433700000.0,1000001-1000000000,8
Ankorstore,2.26,2022,France,Paris,E-commerce & direct-to-consumer,"Global Founders Capital, Aglae Ventures, Alven Capital",2019,None,9,1,420890000.0,1000001-1000000000,3
NuCom Group,2.2,2018,Germany,Unterfoehring,Other,General Atlantic,2016,Acquired,1,1,0.0,,2
MUSINSA,2.2,2019,South Korea,Seoul,E-commerce & direct-to-consumer,Sequoia Capital,2001,None,2,2,286360000.0,1000001-1000000000,18
Bitso,2.2,2021,Mexico,Mexico City,Fintech,"Pantera Capital, QED Investors, Coinbase Ventures",2014,None,22,2,314660000.0,1000001-1000000000,7
Accelerant,2.19,2022,United Kingdom,Colchester,Other,"Deer Park Road, Altamont Capital Partners, Eldridge",2018,None,5,1,1900000000.0,1000000001-1000000000000,4
CloudWalk,2.15,2021,Brazil,Sao Paulo,Fintech,"Plug and Play Ventures, Valor Capital Group, DST Global",2013,None,14,1,3450000000.0,1000000001-1000000000000,8
FirstCry,2.1,2020,India,Pune,E-commerce & direct-to-consumer,"SoftBank Group, SAIF Partners India, Valiant Capital Partners",2010,None,15,6,8310000000.0,1000000001-1000000000000,10
Urban Company,2.1,2021,India,Gurgaon,E-commerce & direct-to-consumer,"VY Capital, Accel, Elevation Capital",2014,None,17,7,441240000.0,1000001-1000000000,7
GoCardless,2.1,2022,United Kingdom,London,Fintech,"Accel, Passion Capital, Balderton Capital",2011,None,16,4,529320000.00000006,1000001-1000000000,11
Trendy Group International,2.0,2012,Hong Kong,Kowloon,Consumer & retail,L Capital Partners,1999,None,1,1,2000000000.0,1000000001-1000000000000,13
BlaBlaCar,2.0,2015,France,Paris,Auto & transportation,"Accel Partners, Index Ventures, Insight Venture Partners",2006,None,13,6,564300000.0,1000001-1000000000,9
Improbable,2.0,2017,United Kingdom,London,Other,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",2012,None,7,4,603930000.0,1000001-1000000000,5
Preferred Networks,2.0,2018,Japan,Tokyo,Artificial intelligence,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",2014,None,11,2,152190000.0,1000001-1000000000,4
Earnix,2.0,2021,Israel,Giv'atayim,Fintech,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",2001,None,6,2,98500000.0,1000001-1000000000,20
Clearco,2.0,2021,Canada,Toronto,Fintech,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",2015,None,23,1,935010000.0,1000001-1000000000,6
KRY,2.0,2021,Sweden,Stockholm,Health,"Index Ventures, Creandum, Accel",2014,None,10,3,570990000.0,1000001-1000000000,7
PayFit,2.1,2022,United Kingdom,London,Fintech,"Accel, frst, Kima Ventures",2016,None,13,3,497240000.0,1000001-1000000000,6
Bunq,2.0,2021,Netherlands,Amsterdam,Fintech,Undisclosed,2013,None,1,1,2280000000.0,1000000001-1000000000000,8
Clip,2.0,2021,Mexico,Mexico City,Fintech,"Alta Ventures Mexico, General Atlantic, SoftBank Group",2012,None,15,4,397360000.0,1000001-1000000000,9
Loggi,2.0,2019,Brazil,Sao Paulo,"Supply chain, logistics, & delivery","Qualcomm Ventures, SoftBank Group. Monashees+",2013,None,15,4,484320000.0,1000001-1000000000,6
Pagaya,2.0,2020,Israel,Tel Aviv,Fintech,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office",2015,None,15,3,417250000.0,1000001-1000000000,5
OCSiAl,2.0,2019,Luxembourg,Leudelange,Other,"A&NN, Rusnano",2012,None,3,2,50000000.0,1000001-1000000000,7
Opay,2.0,2021,Nigeria,Lagos,Fintech,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",2018,None,13,1,5700000000.0,1000000001-1000000000000,3
SmartNews,2.0,2019,Japan,Tokyo,Mobile & telecommunications,"Japan Post Capital, Globis Capital Partners, Atomico",2012,None,20,7,409600000.0,1000001-1000000000,7
Advance Intelligence Group,2.0,2021,Singapore,Artificial intelligence,"Vision Plus Capital, GSR Ventures, ZhenFund",None,2016,None,13,1,5360000000.0,1000000001-1000000000000,5
Tier,2.0,2021,Germany,Berlin,Travel,"Northzone Ventures, White Star Capital, Novator Partners",2018,None,20,2,667380000.0,1000001-1000000000,3
Aiven,2.0,2021,Finland,Helsinki,Internet software & services,"Institutional Venture Partners, Atomico, Earlybird Venture Capital",2016,None,14,2,209930000.0,1000001-1000000000,5
Mynt,2.0,2021,Philippines,Taguig City,Fintech,"Insight Partners, Warburg Pincus, Ayala Corporation",2015,None,7,1,4750000000.0,1000000001-1000000000000,6
Zilch,2.0,2021,United Kingdom,London,Fintech,"Gauss Ventures, Ventura Capital, dmg ventures",2018,None,6,2,339200000.0,1000001-1000000000,3
StarkWare,2.0,2021,Israel,Netanya,Cybersecurity,"Sequoia Capital, Paradigm, Pantera Capital",2018,None,20,1,167700000.0,1000001-1000000000,3
Exotec,2.0,2022,France,Croix,Hardware,"Breega Capital, Iris Capital, 360 Capital Partners",2015,None,7,3,446700000.0,1000001-1000000000,7
Akulaku,2.0,2022,Indonesia,Jakarta,E-commerce & direct-to-consumer,"DCM Ventures, IDG Capital, Siam Commercial Bank",2014,None,15,3,4550000000.0,1000000001-1000000000000,8
Starling Bank,1.95,2021,United Kingdom,London,Fintech,"JTC Group, Qatar Investment Authority, Fidelity Investment",2014,None,11,2,905620000.0,1000001-1000000000,7
CoinSwitch Kuber,1.9,2021,India,Bangalore,Fintech,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",2017,None,7,2,3000000000.0,1000000001-1000000000000,4
Lightricks,1.8,2019,Israel,Jerusalem,Artificial intelligence,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs",2013,None,16,3,3350000000.0,1000000001-1000000000000,6
Trulioo,1.75,2021,Canada,Vancouver,Cybersecurity,"Blumberg Capital, American Express Ventures, BDC Venture Capital",2011,None,12,3,469740000.0,1000001-1000000000,10
Spinny,1.75,2021,India,Gurugram,E-commerce & direct-to-consumer,"General Catalyst, Eleation Capital, Avenir Growth Capital",2015,None,20,5,515900000.0,1000001-1000000000,6
Vestiaire Collective,1.7,2021,France,Paris,E-commerce & direct-to-consumer,"Eurazeo, IDInvest Partners, Balderton Capital",2009,None,17,4,664450000.0,1000001-1000000000,12
Carsome,1.7,2021,Malaysia,Selangor,E-commerce & direct-to-consumer,"Gobi Partners, 500 Startups, Ondine Capital",2015,None,24,5,597350000.0,1000001-1000000000,6
Alan,1.68,2021,France,Paris,Fintech,"Index Ventures, Temasek, Portag3 Ventures",2016,None,13,2,363170000.0,1000001-1000000000,5
wefox,1.65,2019,Germany,Berlin,Fintech,"Salesforce Ventures, Seedcamp, OMERS Ventures",2014,Divestiture,36,3,924310000.0,1000001-1000000000,5
Hibob,1.65,2021,Israel,Tel Aviv,Internet software & services,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures",2015,None,15,3,2650000000.0,1000000001-1000000000000,6
DealShare,1.7,2022,India,Bengaluru,E-commerce & direct-to-consumer,"Alpha Wave Global, Matrix Partners India, Tiger Global Management",2018,None,19,4,391520000.0,1000001-1000000000,4
solarisBank,1.65,2021,Germany,Berlin,Fintech,"Yabeo Capital, SBI Investment, Vulcan Capital",2016,None,20,5,402460000.0,1000001-1000000000,5
Afiniti,1.6,2017,Bermuda,Hamilton,Artificial intelligence,GAM Holding,2006,None,10,3,327200000.0,1000001-1000000000,11
Clio,1.6,2021,Canada,Burnaby,Internet software & services,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures",2008,None,10,2,415790000.0,1000001-1000000000,13
SafetyCulture,1.6,2021,Australia,Sydney,Internet software & services,"Blackbird Ventures, IndexVentures, Tiger Global Management",2004,None,12,6,222810000.0,1000001-1000000000,17
Cognite,1.5,2021,Norway,Lysaker,Data management & analytics,"Technology Crossover Ventures, Accel, Aker",2016,None,5,3,346800000.0,1000001-1000000000,5
SmartHR,1.6,2021,Japan,Tokyo,Fintech,"BEENEXT, World Innovation Lab, Light Street Capital",2013,None,20,3,222340000.0,1000001-1000000000,8
Wayflyer,1.6,2022,Ireland,Dublin,Fintech,"QED Investors, DST Global, Left Lane Capital",2019,None,11,1,336200000.0,1000001-1000000000,3
Promasidor Holdings,1.59,2016,South Africa,Bryanston,Consumer & retail,"IFC, Ajinomoto",1979,None,2,1,5560000000.0,1000000001-1000000000000,37
Gett,1.5,2016,United Kingdom,London,Auto & transportation,"Volkswagen, Access Industries, Vostok New Ventures",2010,None,11,9,1056999999.9999999,1000000001-1000000000000,6
Ledger,1.5,2021,France,Paris,Hardware,"Digital Currency Group, Draper Esprit, Korelya Capital",2014,None,46,4,466380000.0,1000001-1000000000,7
Next Silicon,1.5,2021,Israel,Tel Aviv,Hardware,"Amiti Ventures, Playground Global, Aleph",2018,None,9,1,226600000.0,1000001-1000000000,3
NotCo,1.5,2021,Chile,Santiago,Artificial Intelligence,"Kaszek Ventures, SOSV, Tiger Global Management",2015,None,18,1,395840000.0,1000001-1000000000,6
Culture Amp,1.5,2021,Australia,Richmond,Internet software & services,"Felicis Ventures, Index Ventures, Blackbird Ventures",2011,None,12,4,258300000.0,1000001-1000000000,10
Matillion,1.5,2021,United Kingdom,Altrincham,Data management & analytics,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",2011,None,8,2,310320000.0,1000001-1000000000,10
Ascend Money,1.5,2021,Thailand,Bangkok,Fintech,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",2013,None,3,1,1500000000.0,1000000001-1000000000000,8
